91,1
11,1,0
13,1,0
10,2,0
12,2,0
14,2,0
5,3,0
11,3,0
4,4,0
6,4,0
10,4,1
12,4,0
14,4,2
3,5,0
7,5,2
11,5,0
13,5,0
2,6,1
4,6,0
6,6,0
10,6,0
12,6,0
14,6,0
3,7,0
5,7,0
7,7,0
11,7,0
13,7,0
2,8,0
4,8,0
6,8,0
10,8,0
12,8,0
14,8,0
3,9,0
5,9,0
7,9,0
11,9,0
13,9,0
2,10,0
4,10,0
6,10,0
10,10,0
12,10,0
14,10,0
1,11,0
3,11,0
5,11,0
7,11,0
11,11,0
13,11,0
2,12,0
4,12,0
6,12,0
10,12,0
12,12,0
14,12,0
1,13,0
3,13,0
5,13,0
7,13,1
11,13,0
13,13,0
2,14,0
4,14,0
6,14,0
10,14,0
12,14,0
14,14,0
3,15,2
11,15,0
13,15,0
4,16,0
6,16,0
10,16,0
12,16,0
14,16,1
3,17,0
5,17,0
9,17,2
11,17,0
13,17,0
4,18,0
10,18,0
12,18,0
14,18,0
5,19,0
9,19,0
13,19,0
10,20,0
12,20,0
11,21,0
