139,1
0,2,1
0,4,0
0,6,0
0,8,0
0,10,0
0,12,0
0,14,0
0,16,2
1,1,0
1,3,0
1,5,0
1,7,0
1,9,0
1,11,0
1,13,0
1,15,0
1,17,0
2,0,0
2,2,0
2,4,0
2,6,0
2,8,0
2,10,0
2,12,0
2,14,0
2,16,0
2,18,0
3,1,0
3,3,0
3,5,0
3,7,0
3,9,0
3,11,0
3,13,0
3,15,0
3,17,0
4,0,0
4,2,0
4,4,0
4,6,0
4,8,0
4,10,0
4,12,0
4,14,0
4,16,0
4,18,0
5,1,0
5,3,0
5,5,0
5,7,0
5,9,0
5,11,0
5,13,0
5,15,0
5,17,0
6,0,0
6,2,0
6,4,0
6,6,0
6,8,0
6,10,0
6,12,0
6,14,0
6,16,0
6,18,0
7,1,0
7,3,0
7,5,0
7,7,0
7,9,0
7,11,0
7,13,0
7,15,0
7,17,0
8,0,0
8,2,0
8,4,0
8,6,0
8,8,0
8,10,0
8,12,0
8,14,0
8,16,0
8,18,0
9,1,0
9,3,0
9,5,0
9,7,0
9,9,0
9,11,0
9,13,0
9,15,0
9,17,0
10,0,0
10,2,0
10,4,0
10,6,0
10,8,0
10,10,0
10,12,0
10,14,0
10,16,0
10,18,0
11,1,0
11,3,0
11,5,0
11,7,0
11,9,0
11,11,0
11,13,0
11,15,0
11,17,0
12,0,0
12,2,0
12,4,0
12,6,0
12,8,0
12,10,0
12,12,0
12,14,0
12,16,0
12,18,0
13,1,0
13,3,0
13,5,0
13,7,0
13,9,0
13,11,0
13,13,0
13,15,0
13,17,0
14,2,2
14,4,0
14,6,0
14,8,0
14,10,0
14,12,0
14,14,0
14,16,1
